year    export  cotton
1815    52557753    17529000
1816    81920452    24106000
1817    87671569    22627614
1818    93281133    31334258
1819    70142521    21081760
1820    69692000    22308667
1821    54596000    20157484
1822    61350000    24035058
1823    68326000    20445520
1824    68972000    21947401
1825    90738000    36846649
1826    72891000    25025214
1827    74310000    29359545
1828    64021000    22487229
1829    67435000    26575311
1830    71671000    29674883
1831    72296000    25289492
1832    81521000    31724682
1833    87529000    36191105
1834    102260000    49448402
1835    115216000    64961302
1836    124339000    71284925
1837    111443000    63240102
1838    104979000    61556811
1839    112252000    61238982
1840    123669000    63870307
1841    111817000    54330341
1842    99878000    47593464
1843    82826000    49119806
1844    105746000    54063501
1845    106040000    51739643
1846    109583000    42767341
1847    156742000    53415848
1848    138191000    61998294
1849    140351000    66396967
1850    144376000    71984616
1851    188915000    112315317
1852    166984000    87965732
1853    203489000    109456404
1854    237044000    93596220
1855    218910000    88143844
1856    281219000    128382351
1857    293824000    131575859
1858    272011000    131386661
1859    292902000    161434923
1860    333576000    191806555
