Year Total_Cotton_Export Raw_Cotton_Export Normalized_Raw Normalized_Total
1815 52557753 17529000 1.0 1.0
1816 81920452 24106000 1.37520680015973 1.55867493041416
1817 87671569 22627614 1.29086736265616 1.6680996426921
1818 93281133 31334258 1.78756677505847 1.77483107011823
1819 70142521 21081760 1.20267898910377 1.33457990489053
1820 69692000 22308667 1.27267197216041 1.32600798211445
1821 54596000 20157484 1.14995059615494 1.03878109096482
1822 61350000 24035058 1.37115967824747 1.16728734578892
1823 68326000 20445520 1.16638256603343 1.30001752548287
1824 68972000 21947401 1.25206235381368 1.31230876632035
1825 90738000 36846649 2.10203942038906 1.72644367045143
1826 72891000 25025214 1.42764641451309 1.38687435895518
1827 74310000 29359545 1.67491271607051 1.41387323008272
1828 64021000 22487229 1.28285863426322 1.21810763104731
1829 67435000 26575311 1.51607684408694 1.28306474593767
1830 71671000 29674883 1.69290221917964 1.36366179885962
1831 72296000 25289492 1.44272303040675 1.37555347923645
1832 81521000 31724682 1.80983980831764 1.55107468159835
1833 87529000 36191105 2.06464173655085 1.66538702672467
1834 102260000 49448402 2.82094825717382 1.94566917653424
1835 115216000 64961302 3.70593313936904 2.19217895407362
1836 124339000 71284925 4.06668520737064 2.36575943419803
1837 111443000 63240102 3.60774157111073 2.12039125797482
1838 104979000 61556811 3.51171264761252 1.99740274284557
1839 112252000 61238982 3.49358103713845 2.13578384905458
1840 123669000 63870307 3.64369370757031 2.35301155283407
1841 111817000 54330341 3.09945467510981 2.12750723951231
1842 99878000 47593464 2.71512716070511 1.90034760428209
1843 82826000 49119806 2.8022024074391 1.57590451022516
1844 105746000 54063501 3.0842319014205 2.011996213004
1845 106040000 51739643 2.95165970677163 2.01759005945326
1846 109583000 42767341 2.43980495179417 2.08500161717339
1847 156742000 53415848 3.04728438587483 2.98228122499833
1848 138191000 61998294 3.53689851103885 2.62931712472563
1849 140351000 66396967 3.78783541559701 2.67041477210793
1850 144376000 71984616 4.10660140338867 2.74699719373467
1851 188915000 112315317 6.40740013691596 3.59442687741996
1852 166984000 87965732 5.01829722174682 3.1771525696694
1853 203489000 109456404 6.24430395344857 3.87172183711887
1854 237044000 93596220 5.33950710251583 4.51016237318973
1855 218910000 88143844 5.02845821210565 4.16513240206444
1856 281219000 128382351 7.3239974328256 5.35066634222357
1857 293824000 131575859 7.50618169889896 5.59049775206333
1858 272011000 131386661 7.49538827086542 5.17546859356791
1859 292902000 161434923 9.20959113469108 5.57295514517144
1860 333576000 191806555 10.9422417137315 6.34684667740647
